plant_key,period,period_as_date,market,reference_market,part_of_world,market_code,company_code,factory,warranty_category,service_type,pnc_sku,sell_out_date,failure_date,ttfi,qty_serv,product_line,product_group,product_subgroup,order_nr,warranty_key,product_unit_key
ZS,202303,2023-03-01,Netherlands,Reference Markets Only,Europe,HOL,HOL,Electrolux Plants,First year warranty,Service call,923584021,2022-11-22,2023-02-27,3,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000408261545000,G,ZS-923584021-815-00153
ZS,202303,2023-03-01,Netherlands,Reference Markets Only,Europe,HOL,HOL,Electrolux Plants,First year warranty,Service call,922782036,2022-10-07,2023-03-06,5,1,Food Preservation,Built-in Food Preservation,Built-in Upright Freezer,000408264032000,G,ZS-922782036-239-00070
ZS,202303,2023-03-01,Netherlands,Reference Markets Only,Europe,HOL,HOL,Electrolux Plants,First year warranty,Service call,922784044,2022-11-24,2023-02-27,3,1,Food Preservation,Built-in Food Preservation,Built-in Upright Freezer,000408260961000,G,ZS-922784044-240-00013
ZS,202303,2023-03-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,925505063,2023-02-18,2023-02-26,0,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000007959208000,G,ZS-925505063-242-00052
HUC,202303,2023-03-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,933028023,2022-11-17,2023-03-17,4,1,Food Preservation,Built-in Food Preservation,Built-in Under Counter Refrigerator,000008143516000,G,HUC-933028023-212-10037
ZS,202303,2023-03-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,925975000,2022-05-02,2023-03-09,10,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000008008148000,G,ZS-925975000-151-00800
ZS,202303,2023-03-01,Austria,Reference Markets Only,Europe,OSJ,OSJ,Electrolux Plants,First year warranty,Service call,925875750,2022-07-26,2023-03-06,8,1,Food Preservation,Built-in Food Preservation,Built-in Top Freezer,000407615807000,G,ZS-925875750-219-00039
HUY,202303,2023-03-01,Poland,Reference Markets Only,Europe,PLM,PL1,Electrolux Plants,First year warranty,Service call,925052192,2022-06-20,2023-02-24,8,1,Food Preservation,Freestanding Refrigerator,Freestanding Upright Refrigerator,000007937361000,G,HUY-925052192-213-40168
ZS,202303,2023-03-01,Spain,Reference Markets Only,Europe,SPA,ES1,Electrolux Plants,First year warranty,Service call,923586024,2022-03-25,2023-03-08,12,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000008144065000,G,ZS-923586024-210-00154
HUY,202303,2023-03-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925054765,2023-02-20,2023-03-22,1,1,Food Preservation,Freestanding Bottom Freezer,Small Bottom Freezer,400425199000,G,HUY-925054765-235-40037
HUY,202303,2023-03-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925070232,2022-07-18,2023-03-23,8,1,Food Preservation,Freestanding Freezer,Freestanding Upright Freezer,409981381000,G,HUY-925070232-213-20013
HUY,202303,2023-03-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925041480,2022-04-01,2023-03-02,11,1,Food Preservation,Freestanding Freezer,Freestanding Upright Freezer,409978325000,G,HUY-925041480-204-20020
HUY,202303,2023-03-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925054579,2022-08-10,2023-03-06,7,1,Food Preservation,Freestanding Bottom Freezer,Small Bottom Freezer,409976215000,G,HUY-925054579-223-40006
HUY,202303,2023-03-01,Denmark,Reference Markets Only,Europe,DKH,DKH,Electrolux Plants,First year warranty,Service call,925052574,2022-11-15,2023-02-22,3,1,Food Preservation,Freestanding Freezer,Freestanding Upright Freezer,405141700000,G,HUY-925052574-240-50231
ZS,202303,2023-03-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,922784049,2022-05-24,2023-02-14,9,1,Food Preservation,Built-in Food Preservation,Built-in Upright Freezer,000007879140000,G,ZS-922784049-223-00049
